10		10		10		10		10		10		10		10		10		10		10		10		10		10	
Nadine SEC Superose 6001:10_UV1_280nm		Nadine SEC Superose 6001:10_UV2_360nm		Nadine SEC Superose 6001:10_UV3_410nm		Nadine SEC Superose 6001:10_Cond		Nadine SEC Superose 6001:10_Cond%		Nadine SEC Superose 6001:10_Conc		Nadine SEC Superose 6001:10_pH		Nadine SEC Superose 6001:10_Pressure		Nadine SEC Superose 6001:10_Flow		Nadine SEC Superose 6001:10_Temp		Nadine SEC Superose 6001:10_Fractions		Nadine SEC Superose 6001:10_Inject		Nadine SEC Superose 6001:10_UV1_280nm@01,BASEM		Nadine SEC Superose 6001:10_Logbook	
min	UV1_280nm	min	UV22_360nm	min	UV3_410nm	min	 mS/cm	min	 %	min	 %B	min	 	min	 MPa	min	 ml/min	min	 °C	min	(Fractions)	min	(Injections)	min	 mAU	min	(Set Marks)
7.11	3.06	7.11	327.77	7.11	317.18	7.52	2.53	7.52	2.5	7.52	0	7.52	7.89	7.52	0	7.52	0.02	8.2	28.5	103.69	42			7.11	-0.95	-0.03	Block Aut_PressureFlow_Regulation
7.28	2.99	7.28	327.74	7.28	317.19	7.7	2.53	7.7	2.5	7.7	0	7.7	7.9	7.7	0	7.7	0.02	8.4	28.5	106.18	43			7.28	-0.95	-0.03	Base Time {min}
7.45	2.89	7.45	327.65	7.45	317.14	7.88	2.53	7.88	2.5	7.88	0	7.88	7.9	7.88	0	7.88	0.02	8.6	28.6	108.68	44			7.45	-0.95	-0.03	SystemPumpControlMode Normal ,     0.00 MPa,    0.000 ml/min
7.63	2.81	7.63	327.61	7.63	317.21	8.07	2.53	8.07	2.5	8.07	0	8.07	7.89	8.07	0	8.07	0.02	8.8	28.6	111.17	45			7.63	-0.95	-0.03	End Block
7.8	2.6	7.8	327.57	7.8	317.1	8.25	2.53	8.25	2.5	8.25	0	8.25	7.9	8.25	0	8.25	0.02	9	28.6	113.67	46			7.8	-0.95	-0.03	Block Sample_Injection_
7.97	2.45	7.97	327.48	7.97	316.93	8.43	2.53	8.43	2.5	8.43	0	8.43	7.9	8.43	0	8.43	0.02	9.2	28.6	116.17	47			7.97	-0.95	-0.03	Base SameAsMain
8.15	2.35	8.15	327.37	8.15	316.96	8.62	2.53	8.62	2.5	8.62	0	8.62	7.9	8.62	0	8.62	0.02	9.4	28.6	118.66	48			8.15	-0.95	-0.03	InjectionValve Inject 
8.32	2.19	8.32	327.35	8.32	316.89	8.8	2.53	8.8	2.5	8.8	0	8.8	7.9	8.8	0	8.8	0.02	9.6	28.6	121.16	49			8.32	-0.95	-0.03	Block Sample_Injection
8.49	2.11	8.49	327.31	8.49	316.84	8.98	2.53	8.98	2.5	8.98	0	8.98	7.9	8.98	0	8.98	0.02	9.8	28.6	123.66	50			8.49	-0.95	-0.03	Base Volume {ml}
8.67	2.05	8.67	327.24	8.67	316.75	9.17	2.53	9.17	2.5	9.17	0	9.17	7.9	9.17	0	9.17	0.02	10	28.6	126.15	51			8.67	-0.95	1.28	End Block
8.84	1.94	8.84	327.26	8.84	316.83	9.35	2.53	9.35	2.5	9.35	0	9.35	7.9	9.35	0	9.35	0.02	10.2	28.6	128.65	52			8.84	-0.95	1.28	InjectionValve Load 
9.01	1.82	9.01	327.17	9.01	316.73	9.53	2.53	9.53	2.5	9.53	0	9.53	7.9	9.53	0	9.53	0.02	10.4	28.6	131.15	53			9.01	-0.95	1.3	End Block
9.19	1.79	9.19	327.15	9.19	316.8	9.72	2.53	9.72	2.5	9.72	0	9.72	7.89	9.72	0	9.72	0.02	10.6	28.6	133.64	54			9.19	-0.94	1.3	Block Aut_PressureFlow_Reset
9.36	1.8	9.36	327.19	9.36	316.84	9.9	2.53	9.9	2.5	9.9	0	9.9	7.9	9.9	0	9.9	0.02	10.8	28.6	136.14	55			9.36	-0.94	1.3	Base Time {min}
9.53	1.74	9.53	327.24	9.53	316.84	10.08	2.53	10.08	2.5	10.08	0	10.08	7.9	10.08	0	10.08	0.02	11	28.6	138.64	56			9.53	-0.94	1.3	SystemPumpControlMode Normal ,     0.00 MPa,    0.100 ml/min
9.71	1.69	9.71	327.23	9.71	316.94	10.27	2.53	10.27	2.5	10.27	0	10.27	7.89	10.27	0	10.27	0.02	11.2	28.6	141.13	57			9.71	-0.94	1.3	Block Delay0p02min
9.88	1.56	9.88	327.07	9.88	316.68	10.45	2.53	10.45	2.5	10.45	0	10.45	7.9	10.45	0	10.45	0.02	11.4	28.6	143.63	58			9.88	-0.94	1.3	Base Time {min}
10.05	1.53	10.05	327.09	10.05	316.67	10.63	2.53	10.63	2.5	10.63	0	10.63	7.89	10.63	0	10.63	0.02	11.6	28.6	146.12	59			10.05	-0.94	1.32	End Block
10.23	1.45	10.23	327.05	10.23	316.67	10.82	2.53	10.82	2.5	10.82	0	10.82	7.89	10.82	0	10.82	0.02	11.8	28.6	148.62	60			10.23	-0.93	1.32	End Block
10.4	1.36	10.4	327.02	10.4	316.6	11	2.53	11	2.5	11	0	11	7.9	11	0	11	0.02	12	28.6	151.12	61			10.4	-0.93	1.32	Block Fractionation
10.57	1.28	10.57	327.02	10.57	316.56	11.18	2.53	11.18	2.5	11.18	0	11.18	7.9	11.18	0	11.18	0.02	12.2	28.6	153.61	62			10.57	-0.93	1.32	Base SameAsMain
10.75	1.25	10.75	326.94	10.75	316.5	11.37	2.53	11.37	2.5	11.37	0	11.37	7.89	11.37	0	11.37	0.02	12.4	28.6	156.11	63			10.75	-0.93	1.32	Fractionation_900    0.050 ml
10.92	1.27	10.92	327.02	10.92	316.57	11.55	2.53	11.55	2.5	11.55	0	11.55	7.9	11.55	0	11.55	0.02	12.6	28.6					10.92	-0.92	1.32	End Block
11.09	1.18	11.09	326.9	11.09	316.55	11.73	2.53	11.73	2.5	11.73	0	11.73	7.9	11.73	0	11.73	0.02	12.8	28.6					11.09	-0.92	1.32	Block Flow_Rate
11.27	1.14	11.27	326.87	11.27	316.53	11.92	2.53	11.92	2.5	11.92	0	11.92	7.9	11.92	0	11.92	0.02	13	28.6					11.27	-0.92	1.32	Base SameAsMain
11.44	1.1	11.44	326.92	11.44	316.6	12.1	2.53	12.1	2.5	12.1	0	12.1	7.9	12.1	0	12.1	0.02	13.2	28.6					11.44	-0.92	1.32	Flow    0.020 ml/min
11.61	1.09	11.61	326.81	11.61	316.39	12.28	2.53	12.28	2.5	12.28	0	12.28	7.9	12.28	0	12.28	0.02	13.4	28.6					11.61	-0.91	1.32	End Block
11.79	0.99	11.79	326.87	11.79	316.5	12.47	2.53	12.47	2.5	12.47	0	12.47	7.9	12.47	0	12.47	0.02	13.6	28.7					11.79	-0.91	1.32	Block Isocratic_Elution
11.96	0.89	11.96	326.73	11.96	316.45	12.65	2.53	12.65	2.5	12.65	0	12.65	7.9	12.65	0	12.65	0.02	13.8	28.7					11.96	-0.9	1.32	Base SameAsMain
12.13	0.83	12.13	326.8	12.13	316.42	12.83	2.53	12.83	2.5	12.83	0	12.83	7.89	12.83	0	12.83	0.02	14	28.7					12.13	-0.9	1.32	Block Length_of_Elution
12.31	0.76	12.31	326.74	12.31	316.41	13.02	2.53	13.02	2.5	13.02	0	13.02	7.9	13.02	0	13.02	0.02	14.2	28.7					12.31	-0.9	1.32	Base SameAsMain
12.48	0.79	12.48	326.66	12.48	316.39	13.2	2.53	13.2	2.5	13.2	0	13.2	7.9	13.2	0	13.2	0.02	14.4	28.7					12.48	-0.89		
12.65	0.72	12.65	326.73	12.65	316.35	13.38	2.53	13.38	2.5	13.38	0	13.38	7.89	13.38	0	13.38	0.02	14.6	28.7					12.65	-0.89		
12.83	0.62	12.83	326.68	12.83	316.34	13.57	2.53	13.57	2.5	13.57	0	13.57	7.9	13.57	0	13.57	0.02	14.8	28.7					12.83	-0.89		
