10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;
Nadine SEC Superose 6001:10_UV1_280nm;;Nadine SEC Superose 6001:10_UV2_360nm;;Nadine SEC Superose 6001:10_UV3_410nm;;Nadine SEC Superose 6001:10_Cond;;Nadine SEC Superose 6001:10_Cond%;;Nadine SEC Superose 6001:10_Conc;;Nadine SEC Superose 6001:10_pH;;Nadine SEC Superose 6001:10_Pressure;;Nadine SEC Superose 6001:10_Flow;;Nadine SEC Superose 6001:10_Temp;;Nadine SEC Superose 6001:10_Fractions;;Nadine SEC Superose 6001:10_Inject;;Nadine SEC Superose 6001:10_UV1_280nm@01,BASEM;;Nadine SEC Superose 6001:10_Logbook;
min;UV1_280nm;min;UV2_360nm;min;UV3_410nm;min; mS/cm;min; %;min; %B;min; ;min; MPa;min; ml/min;min; °C;min;(Fractions);min;(Injections);min; mAU;min;(Set Marks)
6.72;2.00;6.72;334.39;6.72;320.89;7.00;2.61;7.00;2.60;7.00;0.00;7.00;7.88;7.00;0.13;7.00;0.02;7.00;28.30;106.07;43;;;6.72;-3.42;-0.03;Base Time {min}
6.88;1.75;6.88;334.25;6.88;320.68;7.17;2.61;7.17;2.60;7.17;0.00;7.17;7.88;7.17;0.13;7.17;0.02;7.17;28.30;108.57;44;;;6.88;-3.42;-0.03;SystemPumpControlMode Normal ,     0.00 MPa,    0.000 ml/min
7.04;1.58;7.04;334.19;7.04;320.78;7.33;2.61;7.33;2.60;7.33;0.00;7.33;7.87;7.33;0.14;7.33;0.02;7.33;28.30;111.07;45;;;7.04;-3.42;-0.03;End Block
7.20;1.46;7.20;334.16;7.20;320.61;7.50;2.61;7.50;2.60;7.50;0.00;7.50;7.87;7.50;0.14;7.50;0.02;7.50;28.30;113.56;46;;;7.20;-3.41;-0.03;Block Sample_Injection_
7.36;1.36;7.36;334.08;7.36;320.65;7.67;2.60;7.67;2.60;7.67;0.00;7.67;7.88;7.67;0.13;7.67;0.02;7.67;28.30;116.06;47;;;7.36;-3.41;-0.03;Base SameAsMain
7.52;1.23;7.52;334.01;7.52;320.55;7.83;2.60;7.83;2.60;7.83;0.00;7.83;7.88;7.83;0.14;7.83;0.02;7.83;28.30;118.55;48;;;7.52;-3.41;-0.03;InjectionValve Inject 
7.68;1.10;7.68;333.94;7.68;320.54;8.00;2.60;8.00;2.60;8.00;0.00;8.00;7.87;8.00;0.14;8.00;0.02;8.00;28.30;121.05;49;;;7.68;-3.40;-0.03;Block Sample_Injection
7.84;1.10;7.84;333.98;7.84;320.59;8.17;2.60;8.17;2.60;8.17;0.00;8.17;7.87;8.17;0.14;8.17;0.02;8.17;28.30;123.55;50;;;7.84;-3.39;-0.03;Base Volume {ml}
8.00;0.91;8.00;333.94;8.00;320.52;8.33;2.60;8.33;2.60;8.33;0.00;8.33;7.87;8.33;0.14;8.33;0.02;8.33;28.30;126.04;51;;;8.00;-3.39;1.18;End Block
8.16;0.80;8.16;333.95;8.16;320.58;8.50;2.60;8.50;2.60;8.50;0.00;8.50;7.87;8.50;0.14;8.50;0.02;8.50;28.30;128.54;52;;;8.16;-3.38;1.18;InjectionValve Load 
8.32;0.77;8.32;333.99;8.32;320.65;8.67;2.60;8.67;2.60;8.67;0.00;8.67;7.87;8.67;0.14;8.67;0.02;8.67;28.30;131.04;53;;;8.32;-3.37;1.20;End Block
8.48;0.69;8.48;333.90;8.48;320.61;8.83;2.60;8.83;2.60;8.83;0.00;8.83;7.87;8.83;0.14;8.83;0.02;8.83;28.30;133.53;54;;;8.48;-3.36;1.20;Block Aut_PressureFlow_Reset
8.64;0.62;8.64;333.83;8.64;320.52;9.00;2.60;9.00;2.60;9.00;0.00;9.00;7.88;9.00;0.14;9.00;0.02;9.00;28.30;136.03;55;;;8.64;-3.35;1.20;Base Time {min}
8.80;0.49;8.80;333.73;8.80;320.36;9.17;2.60;9.17;2.60;9.17;0.00;9.17;7.87;9.17;0.15;9.17;0.02;9.17;28.30;138.53;56;;;8.80;-3.35;1.20;SystemPumpControlMode Normal ,     0.00 MPa,    0.100 ml/min
8.96;0.42;8.96;333.76;8.96;320.39;9.33;2.60;9.33;2.60;9.33;0.00;9.33;7.87;9.33;0.13;9.33;0.02;9.33;28.30;141.02;57;;;8.96;-3.34;1.20;Block Delay0p02min
9.12;0.36;9.12;333.74;9.12;320.31;9.50;2.60;9.50;2.60;9.50;0.00;9.50;7.87;9.50;0.13;9.50;0.02;9.50;28.30;142.36;Waste;;;9.12;-3.32;1.20;Base Time {min}
9.28;0.21;9.28;333.70;9.28;320.32;9.67;2.60;9.67;2.60;9.67;0.00;9.67;7.87;9.67;0.13;9.67;0.02;9.67;28.30;;;;;9.28;-3.31;1.22;End Block
9.44;0.16;9.44;333.64;9.44;320.27;9.83;2.60;9.83;2.60;9.83;0.00;9.83;7.87;9.83;0.14;9.83;0.02;9.83;28.30;;;;;9.44;-3.29;1.22;End Block
9.60;0.10;9.60;333.59;9.60;320.31;10.00;2.60;10.00;2.60;10.00;0.00;10.00;7.87;10.00;0.14;10.00;0.02;10.00;28.30;;;;;9.60;-3.28;1.22;Block Fractionation
